enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
30251.0,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,50-99,Pvt Ltd,1,43.0,0.0
4244.0,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,4.0,0.0
4423.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,18,5000-9999,Pvt Ltd,>4,109.0,0.0
7579.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,14,50-99,Funded Startup,1,4.0,0.0
5990.0,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,Oct-49,Early Stage Startup,2,5.0,1.0
22109.0,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,Oct-49,Early Stage Startup,never,68.0,1.0
8636.0,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,3,162.0,0.0
33000.0,city_90,0.698,Male,Has relevent experience,Part time course,Graduate,STEM,7,Oct-49,Early Stage Startup,1,139.0,0.0
31748.0,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,7,10000+,Public Sector,1,82.0,1.0
11828.0,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,1,82.0,0.0
31401.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,2,116.0,0.0
19275.0,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,111.0,0.0
23649.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,2,13.0,0.0
5761.0,city_50,0.8959999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10000+,Pvt Ltd,1,109.0,0.0
