prediction,probability
0,0.045
1,0.85
0,0.0
1,0.86
1,0.665
1,0.6
0,0.095
0,0.035
0,0.01
0,0.085
0,0.03
0,0.0
0,0.025
0,0.0
0,0.07
0,0.03428784400250454
1,0.82
0,0.05
0,0.03
0,0.06
0,0.085
0,0.095
1,0.68
0,0.025
0,0.03
0,0.025
0,0.005
0,0.04
0,0.055
0,0.015
0,0.035
0,0.02
0,0.055
0,0.03
0,0.185
0,0.005
0,0.045
0,0.19
0,0.215
0,0.015
0,0.035
0,0.06325482745322658
1,0.89
0,0.01
0,0.015
1,0.92
0,0.035
0,0.03
0,0.015
0,0.005
0,0.01
0,0.005
0,0.17950156510851417
0,0.02
0,0.04
1,0.6483372009375072
0,0.03
0,0.03
0,0.02
0,0.05
0,0.05
1,0.88
0,0.0
0,0.205
1,0.92
0,0.065
0,0.03
0,0.11
0,0.255
0,0.15
0,0.005
0,0.02
0,0.01
0,0.02
0,0.005
0,0.005
0,0.0
0,0.02
0,0.08
0,0.01
0,0.13
0,0.005
0,0.115
0,0.045
0,0.015
0,0.01
0,0.04
0,0.135
1,0.92
0,0.055
1,0.64
0,0.01
0,0.01
0,0.08
0,0.05250435358038451
0,0.3
0,0.055
0,0.005
0,0.045
0,0.02
0,0.025
0,0.01
0,0.065
0,0.055
0,0.06
1,0.66
0,0.005
0,0.085
0,0.005
0,0.085
0,0.02
1,0.665
0,0.01
1,0.62
0,0.025
0,0.005
0,0.005
0,0.03
0,0.07
1,0.69
0,0.01
0,0.0
0,0.07
0,0.0
0,0.03
0,0.01
0,0.025
0,0.005
0,0.03
0,0.0
0,0.175
0,0.02
1,0.64
0,0.09
0,0.07
0,0.005
0,0.015
1,0.83
0,0.045
0,0.015
0,0.01
0,0.01
0,0.15
0,0.03
0,0.02
0,0.095
0,0.005
0,0.0
1,0.955
1,0.78
0,0.005
0,0.0
0,0.19
0,0.055
0,0.015
0,0.005
0,0.01
0,0.1
0,0.15
0,0.045
0,0.095
0,0.045
0,0.07
0,0.025
0,0.01
0,0.03
0,0.005
0,0.045
0,0.015
0,0.04
0,0.005
1,1.0
0,0.05
0,0.015
0,0.01
0,0.03
0,0.02
0,0.065
0,0.02
0,0.225
0,0.025
0,0.02
0,0.04
0,0.01
0,0.005
0,0.045
1,0.765
0,0.03
0,0.04
0,0.27
0,0.03
1,0.645
0,0.26
0,0.035
0,0.015
0,0.2
1,0.83
0,0.03
0,0.025
1,0.915
0,0.005
0,0.075
0,0.09
0,0.05
0,0.025
0,0.01
0,0.055
0,0.05
0,0.025
0,0.06
0,0.0
0,0.03
0,0.06
0,0.065
1,0.62
0,0.04
0,0.05
1,0.655
0,0.13
0,0.035
1,0.86
0,0.125
0,0.0
0,0.14
0,0.045
0,0.035
0,0.02
0,0.135
0,0.065
0,0.06
0,0.035
1,0.635
0,0.06
0,0.21
0,0.01
0,0.0
0,0.015
0,0.005
0,0.01
0,0.035
0,0.0
0,0.0
0,0.045
0,0.03
0,0.0
0,0.2
0,0.04
0,0.015
0,0.022147122935889395
1,0.64
0,0.01
0,0.115
0,0.075
0,0.025
0,0.075
0,0.085
1,0.9
0,0.06
0,0.005
0,0.05
0,0.045
0,0.095
1,0.71
0,0.07
0,0.06
0,0.075
0,0.1
1,0.94
0,0.095
0,0.0
0,0.015
0,0.355
0,0.01
0,0.165
0,0.025
0,0.06
0,0.15021726815440328
0,0.01
0,0.015
0,0.035
0,0.015
1,0.825
0,0.01
0,0.025
0,0.145
0,0.06
0,0.08
1,0.72
0,0.01
0,0.0
1,0.795
0,0.04
0,0.025
0,0.155
1,0.985
0,0.01
0,0.03
0,0.03
0,0.055
1,0.75
0,0.01
0,0.075
0,0.05
0,0.04
0,0.36750652468942474
0,0.055
0,0.09
0,0.27
0,0.07
1,0.59
0,0.01
0,0.195
0,0.03
0,0.045
0,0.11625900543526126
0,0.0
0,0.055
0,0.01
1,0.8
0,0.075
1,0.795
0,0.185
1,0.745
0,0.32208902976375997
0,0.01
0,0.31
0,0.125
0,0.02
1,0.8
0,0.04
0,0.055
0,0.02
0,0.085
0,0.01
0,0.05
1,0.84
0,0.03
0,0.075
0,0.025
0,0.055
0,0.04304110634721694
0,0.01
0,0.06
0,0.01
0,0.05
0,0.01
0,0.28
0,0.0
0,0.04
0,0.065
0,0.045
0,0.0
0,0.095
1,0.8
1,0.7
1,0.795
0,0.02
0,0.0
0,0.01
0,0.01
0,0.0
0,0.025
0,0.05
0,0.025
0,0.03
0,0.01
0,0.02
1,0.67
0,0.14
0,0.02
0,0.045
0,0.025
0,0.305
0,0.03
0,0.01
0,0.085
0,0.005
0,0.02
0,0.0
0,0.005
0,0.025
0,0.165
0,0.33
0,0.02
0,0.2
0,0.005
0,0.01
0,0.195
0,0.23
0,0.005
0,0.04
0,0.005
0,0.015
0,0.035
0,0.075
0,0.11
0,0.045
0,0.0
0,0.06
0,0.06
0,0.02
0,0.18
0,0.205
0,0.01
0,0.025
0,0.075
0,0.015
0,0.05
0,0.075
0,0.05
0,0.105
1,0.945
0,0.01
0,0.045
0,0.21
0,0.0
0,0.02
0,0.07
1,0.745
0,0.005
0,0.035
0,0.105
0,0.02
1,0.685
0,0.005
0,0.25
0,0.02
0,0.0
0,0.055
0,0.005
1,0.68
1,0.815
0,0.075
0,0.165
0,0.005
1,0.725
0,0.05
1,0.66
0,0.0
0,0.01875326234471239
0,0.01
0,0.045
0,0.0
0,0.025
0,0.08
0,0.08
0,0.035
0,0.015
